"SiteName","SRI","Roughness_MEAN","area_hectare","TreeCount_W0","CostalDistance_m","MYSP.PSI","MYLU.PSI","MYLE.PSI","MYSE.PSI","EPFU.C.PSI"
"Site_1",0.871614018,352,2.91821120922703,2.927272797,55927.50539,1,0,1,0,1
"Site_4",-0.400668876,466,9.2086697005261,6.558566093,1640.958379,0,0,0,0,1
"Site_5",-0.242344797,87,1.97902620963173,9.542211533,14944.45865,0,0,0,0,0
"Site_7",-0.156150078,225,7.38999916632942,6.450069427,4340.047472,1,1,0,1,0
"Site_8",-0.047430563,469,0.779230065965196,4.413846016,3805.081767,0,0,0,0,0
"Site_9",0.48558164,433,1.30198402023472,3.321052551,1430.919424,0,0,0,0,1
"Site_10",-0.291510818,170,0.375758759206799,5.968420982,38.08144289,0,0,0,0,1
"Site_11",-0.897060594,194,2.21809744961554,6.644907475,1442.162653,0,0,0,0,0
"Site_12",0.938199837,243,5.62434557264265,6.420292377,17165.77868,1,1,0,0,1
"Site_14",-0.883571166,208,0.806456129502226,5.226250172,78383.42723,0,0,0,0,0
"Site_15",0.894520769,300,2.7685991970862,2.753879309,52889.65008,1,1,1,1,1
"Site_17",-0.935819116,200,0.0685636467017402,4.785714149,368.6970454,0,0,0,0,0
"Site_18",-0.596643166,185,0.218963422501012,4.066666603,83748.16988,0,0,0,0,0
"Site_19",-0.42250044,195,0.429103144071226,6.324999809,24107.35144,0,0,0,0,1
"Site_20",0.14010865,165,1.22183711007689,5.747008324,9445.720099,0,0,0,0,0
"Site_21",0.978159864,264,2.54937891056253,3.903067589,2837.521457,0,0,0,0,0
"Site_22",0.024507203,118,0.407606280453258,5.102631569,98478.00483,0,0,0,0,0
"Site_23",0.560600896,400,0.86535981829219,5.507954597,25850.80221,0,0,0,0,1
"Site_25",0.763302175,239,1.69432718858762,2.625333309,54307.16822,0,0,0,0,1
"Site_26",0.111931548,372,11.5589320922703,6.164705753,3406.92612,1,1,0,1,0
"Site_28",-0.62062289,125,4.63022148522865,7.254130363,17286.61771,0,0,0,0,0
"Site_30",0.216319603,505,2.50670431525698,4.238536358,3861.50303,0,0,0,0,1
"Site_31",-0.259157749,339,2.1129226495346,6.328804493,2516.555361,0,0,0,0,0
"Site_32",0.165321833,135,0.294039213273978,5.367742062,97577.1712,0,0,0,0,0
"Site_33",-0.815301484,176,1.72615540226629,9.005063057,309.7116864,0,0,0,0,0
"Site_34",0.223011723,185,7.51038474301902,3.582276583,2009.880197,1,0,0,0,1
"Site_36",0.652508605,173,0.149713876568191,5.283333302,26015.38698,0,0,0,0,0
"Site_37",0.294312314,149,1.78427060218535,5.671257496,6734.986756,0,0,0,0,1
"Site_38",-0.904833582,197,0.972692760825577,5.096774101,20247.65593,0,0,0,0,1
"Site_39",-0.87707542,303,1.05326901295022,3.551886797,53544.53342,1,0,0,0,1
"Site_41",0.337535142,334,1.74832989194658,5.968944073,842.6933727,1,1,1,0,1
"Site_42",-0.972126143,143,1.37938890934844,3.760526419,7107.290024,1,1,1,0,1
"Site_44",0.243861782,217,1.01907864589235,3.300990105,51434.07362,1,1,1,1,1
"Site_46",-0.26934626,114,0.0967262990692027,7.869999886,1096.888674,0,0,0,0,1
"Site_47",0.922458616,134,0.229703925940915,5.333333492,77775.36963,0,0,0,0,1
"Site_48",0.896074225,297,4.84527624443545,5.007127762,78132.3494,1,1,0,0,1
"Site_50",0.644943646,247,1.30221456090652,4.94140625,700.1826756,0,0,0,0,1
"Site_51",0.856905541,396,0.11520428976123,NA,89071.11162,0,0,0,0,0
"Site_52",0.974078272,292,1.79159614245245,5.432203293,1888.165248,0,0,0,0,0
"Site_54",0.829867045,462,2.88892236746257,4.263082504,71026.01806,1,1,1,0,1
"Site_55",0.72794316,294,3.63044068231485,5.156766891,1900.381026,1,1,0,0,1
"Site_57",0.078927962,235,9.26546828409551,NA,57303.00803,0,0,0,0,1
"Site_58",-0.742553426,295,1.31122196479158,3.488372087,58172.62144,1,0,1,0,1
