"SiteName","MYSP.PSI","MYLU.PSI","MYLE.PSI","MYSE.PSI","EPFU.C.PSI"
"Site_1",1,0,1,0,1
"Site_4",0,0,0,0,1
"Site_5",0,0,0,0,0
"Site_7",1,1,0,1,0
"Site_8",0,0,0,0,0
"Site_9",0,0,0,0,1
"Site_10",0,0,0,0,1
"Site_11",0,0,0,0,0
"Site_12",1,1,0,0,1
"Site_14",0,0,0,0,0
"Site_15",1,1,1,1,1
"Site_17",0,0,0,0,0
"Site_18",0,0,0,0,0
"Site_19",0,0,0,0,1
"Site_20",0,0,0,0,0
"Site_21",0,0,0,0,0
"Site_22",0,0,0,0,0
"Site_23",0,0,0,0,1
"Site_25",0,0,0,0,1
"Site_26",1,1,0,1,0
"Site_28",0,0,0,0,0
"Site_30",0,0,0,0,1
"Site_31",0,0,0,0,0
"Site_32",0,0,0,0,0
"Site_33",0,0,0,0,0
"Site_34",1,0,0,0,1
"Site_36",0,0,0,0,0
"Site_37",0,0,0,0,1
"Site_38",0,0,0,0,1
"Site_39",1,0,0,0,1
"Site_41",1,1,1,0,1
"Site_42",1,1,1,0,1
"Site_44",1,1,1,1,1
"Site_46",0,0,0,0,1
"Site_47",0,0,0,0,1
"Site_48",1,1,0,0,1
"Site_50",0,0,0,0,1
"Site_51",0,0,0,0,0
"Site_52",0,0,0,0,0
"Site_54",1,1,1,0,1
"Site_55",1,1,0,0,1
"Site_57",0,0,0,0,1
"Site_58",1,0,1,0,1
